Código;22D;20;16;12;12(Coax);8(coax);8(Twinax)
A35;6;0;0;0;0;0;0
A94;0;2;0;0;0;0;0
A98;0;3;0;0;0;0;0
B2;0;0;2;0;0;0;0
B5;0;5;0;0;0;0;0
B35;13;0;0;0;0;0;0
B54;4;0;0;0;0;0;0
B98;0;6;0;0;0;0;0
B99;0;7;0;0;0;0;0
C4;0;0;4;0;0;0;0
C8;0;8;0;0;0;0;0
C13;0;0;2;2;0;0;0
C35;22;0;0;0;0;0;0
C98;0;10;0;0;0;0;0
D4;0;0;0;4;0;0;0
D5;0;0;5;0;0;0;0
D15;0;14;1;0;0;0;0
D18;0;18;0;0;0;0;0
D19;0;19;0;0;0;0;0
D35;37;0;0;0;0;0;0
D97;0;8;4;0;0;0;0
E2;38;0;0;0;0;0;1
E6;0;0;0;6;0;0;0
E8;0;0;8;0;0;0;0
E22;0;0;0;0;2;2;0
E26;0;26;0;0;0;0;0
E35;55;0;0;0;0;0;0
E99;0;21;2;0;0;0;0
F11;0;0;11;0;0;0;0
F18;14;0;0;0;0;0;4
F28;0;26;2;0;0;0;0
F31;12;0;0;1;0;2;0
F32;0;32;0;0;0;0;0
F35;66;0;0;0;0;0;0
G11;0;0;0;11;0;0;0
G16;0;0;16;0;0;0;0
G29;0;19;4;4;0;0;0
G35;79;0;0;0;0;0;0
G39;0;37;2;0;0;0;0
G41;0;41;0;0;0;0;0
G75;0;0;0;0;0;0;4
G79;17;0;0;0;0;2;0
H6;0;0;0;0;0;0;6
H14;0;0;0;0;14;0;0
H21;0;0;0;21;0;0;0
H35;100;0;0;0;0;0;0
H53;0;53;0;0;0;0;0
H54;40;0;9;4;0;0;0
H55;0;55;0;0;0;0;0
J4;0;48;8;0;0;0;0
J7;97;0;0;0;0;0;2
J8;0;0;0;0;0;0;8
J17;36;0;0;0;0;0;6
J19;0;0;0;19;0;0;0
J20;0;10;13;0;4;0;3
J24;0;0;12;12;0;0;0
J29;0;0;29;0;0;0;0
J35;128;0;0;0;0;0;0
J41;22;3;11;0;2;0;3
J43;0;23;20;0;0;0;0
J46;0;40;4;0;0;2;0
J61;0;61;0;0;0;0;0
J90;0;40;4;0;0;0;2
